sample-id	Target	Harvest_ID	Block_row_column	Sp_speed	Stress	Speed	Block	Rows	Columns	root_weight	Nucleic_Acid_ngul	Plate_name	Plate_postion	Plate_row	Plate_column	GQ_submission_order	sample_type	greenhouse_compartment	greenhouse_table	Sp_full_name	Sp_abb_name	Sp_Tribe	Sp_Lineage_Walden	Sp_Family	Sp_Guest	Roots	Shoot_.DryWeight	Rainbow	Broken	Flowering	soil_moisture	Missing	Notes_1	Notes_2	Rainbow.batch	barcode	Amplicon_concentation_ngul
267_ITS	ITS	267	11.3.8	F2	MeJA	Fast	11	3	8	5.09	46.5	F1_F2	H9	H	9	72	rhizoplane	2.1	11_12	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	0.61	0	0	0	normal	0	Root with nodules Senescence lower leaves			VAL12505804-H09	25.141
268_ITS	ITS	268	12.4.4	F2	MeJA	Fast	12	4	4	3.1	56.7	F1_F2	A10	A	10	73	rhizoplane	2.1	11_12	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	0.499	0	0	0	normal	0	Root with nodules			VAL12505804-A10	30.334
269_ITS	ITS	269	13.6.3	F2	MeJA	Fast	13	6	3	4.05	89.5	F1_F2	B10	B	10	74	rhizoplane	2.1	13_14	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	0.596	0	0	0	normal	0	Root with nodules			VAL12505804-B10	30.792
270_ITS	ITS	270	14.5.13	F2	MeJA	Fast	14	5	13	6.18	61	F1_F2	C10	C	10	75	rhizoplane	2.1	13_14	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1		1	0	0	normal	0	Root with nodules		PPH 17-21_June	VAL12505804-C10	25.655
271_ITS	ITS	271	15.6.11	F2	MeJA	Fast	15	6	11	4.01	64.7	F1_F2	D10	D	10	76	rhizoplane	2.1	15_16	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1		1	0	0	normal	0	Root with nodules		PPH 1st batch	VAL12505804-D10	26.078
273_ITS	ITS	273	1.1.1	F2	SA	Fast	1	1	1	5.79	69.9	F1_F2	E10	E	10	77	rhizoplane	2.12	1_2	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	1.103	0	0	0	normal	0	Root with nodules			VAL12505804-E10	24.065
274_ITS	ITS	274	2.2.15	F2	SA	Fast	2	2	15	3.14	57.4	F1_F2	F10	F	10	78	rhizoplane	2.12	1_2	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	0.637	0	0	0	normal	0	Root with nodules			VAL12505804-F10	27.562
275_ITS	ITS	275	3.3.2	F2	SA	Fast	3	3	2	3.98	62.4	F1_F2	G10	G	10	79	rhizoplane	2.12	3_4	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	0.846	0	0	0	normal	0	Root with nodules			VAL12505804-G10	27.332
276_ITS	ITS	276	4.3.11	F2	SA	Fast	4	3	11	3.86	55.5	F1_F2	H10	H	10	80	rhizoplane	2.12	3_4	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	1.002	0	0	0	normal	0	Root with nodules			VAL12505804-H10	28.633
277_ITS	ITS	277	5.1.10	F2	SA	Fast	5	1	10	2.78	58.1	F1_F2	A11	A	11	81	rhizoplane	2.12	5_6	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	0	0.651	0	0	0	normal	0				VAL12505804-A11	26.74
